episode_id,case_id,case_type,customer_tier,urgency,category,decision_agent,expected_decision,outcome,error_type,decision_time_s,memories_retrieved_n,config
EP_MEM_001,C001,base,regular,low,Información,A3,A3,correcto,N/A,7.7423,2,with_memory
EP_MEM_002,C002,base,regular,low,Información,A3,A3,correcto,N/A,7.0051,2,with_memory
EP_MEM_003,C003,base,regular,low,Información,A3,A3,correcto,N/A,7.4155,2,with_memory
EP_MEM_004,C004,base,regular,high,Facturación,A1,A1,correcto,N/A,10.6263,2,with_memory
EP_MEM_005,C005,base,gold,high,Facturación,A1,A1,correcto,N/A,8.3484,2,with_memory
EP_MEM_006,C006,base,regular,high,Técnico,A2,A2,correcto,N/A,9.3471,2,with_memory
EP_MEM_007,C007,base,gold,high,Técnico,A2,A2,correcto,N/A,11.431,2,with_memory
EP_MEM_008,C008,base,gold,high,Seguridad,A2,A2,correcto,N/A,8.4029,2,with_memory
EP_MEM_009,C009,base,regular,low,Facturación,A4,A4,correcto,N/A,10.2306,2,with_memory
EP_MEM_010,C010,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,8.3513,2,with_memory
EP_MEM_011,C011,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,7.3735,2,with_memory
EP_MEM_012,C012,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,7.6499,2,with_memory
EP_MEM_013,C013,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,6.9933,2,with_memory
EP_MEM_014,C014,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,7.8125,2,with_memory
EP_MEM_015,C015,base,regular,low,Soporte,A3,A3,correcto,N/A,9.5767,2,with_memory
EP_MEM_016,C016,base,gold,low,Información,A3,A3,correcto,N/A,9.2859,2,with_memory
EP_MEM_017,C017,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.6281,2,with_memory
EP_MEM_018,C018,VIP,VIP,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,7.0961,2,with_memory
EP_MEM_019,C019,VIP,VIP,low,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.4243,2,with_memory
EP_MEM_020,C020,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,8.1925,2,with_memory
EP_MEM_021,C021,VIP,VIP,high,Facturación,A1,A1,correcto,N/A,9.1592,2,with_memory
EP_MEM_022,C022,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,10.7008,2,with_memory
EP_MEM_023,C023,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,9.8205,2,with_memory
EP_MEM_024,C024,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.6335,2,with_memory
EP_MEM_025,C025,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,11.4935,2,with_memory
EP_MEM_026,C026,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,7.7059,2,with_memory
EP_MEM_027,C027,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,7.6145,2,with_memory
EP_MEM_028,C028,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,7.5291,2,with_memory
EP_MEM_029,C029,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,8.1715,2,with_memory
EP_MEM_030,C030,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,8.142,2,with_memory
EP_MEM_031,C031,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,7.7535,2,with_memory
EP_MEM_032,C032,ambiguo,gold,medium,Soporte,A2,A2,correcto,N/A,7.9787,2,with_memory
EP_MEM_033,C033,ambiguo,regular,medium,Información,A2,A3,incorrecto,ERROR_DECISION_INCORRECTA,7.8914,2,with_memory
EP_MEM_034,C034,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,8.5488,2,with_memory
EP_MEM_035,C035,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,8.5435,2,with_memory
EP_MEM_036,C036,ambiguo,gold,low,Soporte,A3,A3,correcto,N/A,7.957,2,with_memory
EP_MEM_037,C037,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,7.8509,2,with_memory
EP_MEM_038,C038,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,8.6924,2,with_memory
EP_MEM_039,C039,ambiguo,regular,medium,Facturación,A1,A1,correcto,N/A,8.3857,2,with_memory
EP_MEM_040,C040,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,7.2421,2,with_memory
EP_MEM_041,C041,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,8.2191,2,with_memory
EP_MEM_042,C042,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,7.3734,2,with_memory
EP_MEM_043,C043,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,9.0018,2,with_memory
EP_MEM_044,C044,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,8.5889,2,with_memory
EP_MEM_045,C045,control_aislado,gold,low,Soporte,A3,A3,correcto,N/A,8.0777,2,with_memory
EP_MEM_046,C046,control_aislado,regular,low,Información,A3,A3,correcto,N/A,7.2352,2,with_memory
EP_MEM_047,C047,control_aislado,gold,medium,Técnico,A2,A2,correcto,N/A,8.5017,2,with_memory
EP_MEM_048,C048,control_aislado,regular,low,Información,A3,A3,correcto,N/A,7.9304,2,with_memory
EP_MEM_049,C049,control_aislado,gold,medium,Técnico,A2,A2,correcto,N/A,8.298,2,with_memory
EP_MEM_050,C050,control_aislado,regular,low,Información,A3,A3,correcto,N/A,10.8211,2,with_memory
